ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPopId	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	MutWann	MutWer	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	ADFB8003-B5BB-4380-8CB3-DDAA88BA559F	9	Boppelsen, Boppelser Weid	autochthon	1985	673929	258117	2146451010	41e23c20-b14f-11e1-b690-003048cd3590	2	Boppelsen	Boppelser Weid, Slüd	neu entdeckt, autochthon			673902	257731	5		eben					Charlotte Salzmann	1	2012	Vogelschutzverein Boppelsen	Susanne Ochsner	NSG				2012-06-08 11:49:36	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	4E6F25FC-2D39-4406-9937-F2E4F5FDFE8D	10	Bubikon, Egelsee	autochthon	1989	704430	235120	1304625488	6C09E932-CF9F-48D9-9F6A-638C4A43D131	1	Bubikon	Egelsee, N	autochthon	0		704430	235120						Egelsee, im Nordzipfel SW Zell, Schwingrasen und flachgründige niedere Kleinseggenriede und Schoeneten		Charlotte Salzmann	1	1800			NSG			1	2012-11-08 16:19:38	rüegg	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	4E6F25FC-2D39-4406-9937-F2E4F5FDFE8D	10	Bubikon, Egelsee	autochthon	1989	704430	235120	-927115908	9FE82EF9-57C4-4E83-8BDC-2B66E462148F	2	Bubikon	Egelsee, S	neu entdeckt, autochthon	0		704300	234850								Charlotte Salzmann	1	2008						0	2011-12-29 18:04:42	sartori	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	4E6F25FC-2D39-4406-9937-F2E4F5FDFE8D	10	Bubikon, Egelsee	autochthon	1989	704430	235120	43034634	03899330-A80B-4E96-95E1-4B5119CB6F5E	3	Bubikon	Egelsee, E	neu entdeckt, autochthon	0		704768	235043								Charlotte Salzmann	1	2008						0	2011-12-29 18:05:05	sartori	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	4E6F25FC-2D39-4406-9937-F2E4F5FDFE8D	10	Bubikon, Egelsee	autochthon	1989	704430	235120	-1800653102	46609C4E-6FE8-4EF5-8358-A1B5BC5ECD92	5	Bubikon	Schönbühl	autochthon	0		705110	235090						Zwischen Autobahn und Egelsee. Im teils zwischenmoorigen und verschilften N-Teil des Gebiets, an der Grenze des stärker verschilften Bereichs im NE der Lichtung		Charlotte Salzmann	1	1800			NSG			0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	E60174F6-C2C7-48B3-B6C9-663AE7D8E39C	11	Dübendorf, Torfsümpfe	erloschen, zuvor autochthon	1890	689000	250000	-198768642	F9F456C5-94CD-41A6-A197-703AF0035DA0	1	Dübendorf	Torfsümpfe b. Dübendorf	erloschen, zuvor autochthon	0		689000	250000								Charlotte Salzmann	2	1890						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	930A9B98-6C42-4C10-A543-0E40738F0247	12	Egg, Ried Hinteregg	erloschen, zuvor autochthon	1898	694100	240700	-403347876	859EE1DE-82CD-48C3-AB19-C6E723C7D148	1	Egg	Ried Hinteregg	erloschen, zuvor autochthon	0		694100	240700	250							Charlotte Salzmann	2	1898						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	8916029A-558A-4AFA-9216-6FF700E4BA15	13	Embrach, Moselwiesen	autochthon	1966	688700	262450	1762567146	00341B4F-55C9-4A09-BE7D-3ED55F0AA060	1	Embrach	Moselwiesen	autochthon	0		688700	262450								Charlotte Salzmann	1	1966			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	E0121C4C-30B4-4E44-91B4-F71528F6B142	15	Fehraltorf, Speckried	erloschen, zuvor autochthon	1893	700200	248000	160652383	1BA84775-B0F4-4790-B5F3-CF2D194507D7	1	Fehraltorf	Speckried	erloschen, zuvor autochthon	0		700200	248000								Charlotte Salzmann	2	1893						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	24469135-4599-4E0C-AE7F-319484DBDF78	16	Fehraltorf, Rüti	erloschen, zuvor autochthon	1919	698200	249400	1871561102	610AA4E3-98B2-47B8-8AF6-C570D5255F6E	1	Fehraltorf	Rüti b. Fehraltorf	erloschen, zuvor autochthon	0		698200	249400						In einem verwachsenen Torfloch		Charlotte Salzmann	2	1919						1	2010-03-27 00:00:00	KarinMarti	
